ALL SAINTS ANGLICAN CHURCH,Aklavik,NT,,
ASSUMPTION CATHOLIC CHURCH,Hay River,NT,,
CALVARY COMMUNITY CHURCH,Yellowknife,NT,,
Compassionate Cup Ministries Community Church,Ulukhaktok,NT,8673964277,https://www.facebook.com/pages/Compassionate-Cup-Ministries-Community-Church/1472481633070682
Cornerstone Pentecostal Church,Yellowknife ,NT,867.873.4590,http://www.ykpentecostal.org
Dene Pentecostal Mission,Hay River,NT,867.874.6622,
FORT SMITH PENTECOSTAL CHURCH,Fort Smith,NT,867.872.2257,
HAY RIVER BAPTIST CHURCH,Hay River,NT,,
HAY RIVER CHAPEL,Hay River,NT,,
HOLY FAMILY LUTHERAN CHURCH,Yellowknife,NT,,
HOLY TRINITY ANGLICAN CHURCH,Yellowknife,NT,,
INUVIK CHRISTIAN ASSEMBLY,Inuvik,NT,,
PENTECOSTAL CHAPEL,Fort Good Hope,NT,,
PENTECOSTAL NATIVE MISSIONS OF THE PENTECOSTAL ASSEMBLIES OF CANADA,Hay River,NT,,
Pentecostal Sub-Arctic Mission,Fort Smith,NT,867.872.5395,
Pentecostal Sub-Arctic Mission,Fort Smith,NT,867.872.5395,
ROMAN CATHOLIC EPISCOPAL CORPORATION OF MACKENZIE,Yellowknife,NT,,
ROMAN CATHOLIC MISSIONS OF MACKENZIE,Yellowknife,NT,,
SALVATION ARMY-YELLWKNIFE CORPS,Yellownife,NT,,
ST ANDREW'S ANGLICAN PARISH,Hay River,NT,,
ST JOHN'S ANGLICAN CHURCH,Fort Smith,NT,,
ST JOSEPH'S CATHEDRAL PARISH,Fort Smith,NT,,
ST MATTHEW'S CHURCH,Yellowknife,NT,,
ST PATRICK PARISH,Yellowknife,NT,,
ST TIMOTHY'S ANGLICAN CHURCH,Yellowknife,NT,,
ST-DAVID'S CHURCH ANGLICAN CHURCH OF CANADA,Fort Simpson,NT,,
THE CHURCH OF THE RESURRECTION ANGLICAN PARISH,Yellowknife,NT,,
THE DIOCESE OF THE ARCTIC,Yellowknife,NT,,
THE PARISH OF ST SIMON AND ST JUDE,Yellowknife,NT,,
Tulita Pentecostal Mission,Tulita,NT,867.872.5395,
YELLOWKNIFE ALLIANCE CHURCH,Yellowknife,NT,,
YELLOWKNIFE CHURCH OF CHRIST,Yellowknife,NT,,
YELLOWKNIFE UNITED CHURCH,Yellowknife,NT,,
Yellowknife Vineyard Christian Fellowship,Yellowknife,NT,(867) 920-2446,
